,tweet_id,sentiment,text
30,2.71629261465604e+17,neutral,"""New Cher single coming on Monday to iTunes, """"""""Woman's World"""""""". This is the official streaming from Warners on YouTube:"
31,2.63603901603914e+17,positive,"""Team CK vs Demolition on November 17th at the American Legion Post 80, Main St. in Binghamton NY. Get your tickets now!"
32,2.69437682537595e+17,positive,[someone] My daughter [someone] will be 14 on December 17th! We r going to see Buddy @ The Kirby Center in WB on December 14th. So excited!
33,2.29095599125979e+17,neutral,Tomorrow there will be a new Miss Teen USA. Make sure you follow the current [someone] Danielle Doty's personal account [someone]
34,2.75763510150054e+17,neutral,"""#tunewiki """"""""How to See the Sun Rise"""""""" by Ben Sollee"
35,2.07097523523957e+17,positive,Morning!!!! Soundset was popin and hot as a tity but time to waken bake easy the sun burn haaa
36,2.25910551686029e+17,neutral,"""[someone] Hee hee! Do you know, that picture was taken after husband bought me tickets to see The Ladykillers for the 3rd time."""
37,2.72216625795699e+17,positive,"""Teddy Bear Toss, a Brad Mills goal and more fun from Maverik Center in a tough loss Friday. See you tomorrow at 7!"
38,2.78722624220197e+17,negative,[someone] a close 2nd is playing nothing but RSE on my drive to Soundset from California. Then nothing but RSE on the way back.
39,1.97400442790097e+17,neutral,"""Dr Joe will kick off his Australian Tour with a lecture at The Conscious Club in Sydney, Australia, Thursday, May 17!"
40,2.47286539611152e+17,positive,Have a lovely Sunday and keep it MYSA
41,2.82528927883354e+17,positive,"""just only for true Liverpudlian, download this song on iTunes IDR15.000. keep it on 1st in xmas chart! #ipho"
42,2.76302833844892e+17,neutral,"""SAVE THE DATE !! Next saturday, the 14th of december, Circoloco is back at Showcase - Paris Live Club with Dan..."
43,2.50825004000891e+17,neutral,"""2013 marks the 100th birthday of the Chelsea Flower Show. If you are heading to the UK in May, why not combine a..."
44,2.64433109209063e+17,negative,Having the NY Marathon on Sunday is like having a parade in Raccoon city right after the T-Virus went airborne.
45,2.78164121197896e+17,neutral,"""A New Work, Threshold, will be read by the African American Repertory Theatre of Virginia this friday at the..."
46,2.6768200809909e+17,positive,I went to a Remembrance service today for the 1st time and can say it was so touching.
47,2.59002412986163e+17,positive,Sun got the best of me at Soundset #tbt
48,2.76782324551668e+17,neutral,Check out what is happening at the San Diego County Fair (Del Mar Fairgrounds) this Saturday!
49,2.2626885861129e+17,positive,my 1st bias in t-ara still eunjung jiyeon okay still EunJi !! but plus Danee now muahahahah so it being EunJiNi ._. lol
50,2.72427872575177e+17,positive,Transformers Prime is being syndicated to the CW Network for their Saturday morning cartoon programming block. Very interesting.
51,2.79266106722632e+17,positive,[someone] Oh let me know if you hear about what is on at Sankeys 11th and 12th of January?:) my 21st!! Could just celebrate it at Circoloco
52,2.73240496820855e+17,neutral,[someone] Might be stopping be the studio on Friday. Have any of that Halloween candy left over?
53,2.81317077623636e+17,neutral,[someone] the Friday we got off of Thanksgiving break
54,2.69124991642133e+17,positive,[someone] Thanks again for tix to last nights Passafire show! Bout my tix to the RNDM show for tomorrow night!
55,2.77968019437781e+17,positive,I hope we watch the concert tomorrow.. I need to see Danee!!
56,2.11114998657847e+17,neutral,Just got word we are stopping back in Pittsburgh before the tour heads to Ohio June 29th #PartyWithThePros
57,2.8362851777264e+17,positive,Kiryu to Release 9th Single This Christmas Visual Kei band Kiryu surprise their fans with great news! The band...
58,2.24187394822386e+17,positive,"""Tomorrow at Knollwood, Tyler Graham and Ashley Mayhall compete! Any body I am missing, let me know! Zoe is on vacation..Enjoy the trip!"""
59,2.74635468967117e+17,positive,"""Liverpudlian, David Price defeats Matt Skelton in the 2nd round to defend his British &amp; Commonweath heavyweight titles."""
60,2.80801520713347e+17,positive,Shouts out to big [someone] it is his 16th birthday today! Trosk is the best baseball player since Kenny Lofton!
61,2.75212211625026e+17,negative,Having to work a Sunday but a Sunday of the Edinburgh Derby #grim
62,2.21801144127734e+17,positive,[someone] saw your concert at San Diego County Fair on June 30!!! I loved it!! You guys were amazing!!!!!
63,2.56500849684132e+17,neutral,And you are all just going to have to accept the fact that I will be slipping in and out of the Liverpudlian accent tomorrow ok OKAY
64,2.4669251160574e+17,neutral,"""Parkdale students, take a break from homework and head to the Polish Festival! Saturday and Sunday only!"""
65,2.85825033073472e+17,negative,do not know why I am being a melt and just go Circoloco tomorrow
66,2.29742859765551e+17,positive,Congratulations to [someone] for being the first one from WV to ever be a Miss Teen USA 1st runner up!!! Could not be more proud! Love you
67,2.41799723458114e+17,positive,"""Gah, I still cannot believe I got to meet [someone] at Phoenix Comicon, back in may. Still excited about it!!!(:"
68,2.37890878411256e+17,neutral,Feels like a Monday. (@ FM Kirby Center for the Performing Arts)
69,2.49328279947997e+17,negative,"""Spent about 9 hours straight in the sun for Waterparks video shoot, going to spend the same amount tomorrow at Riot Fest. KILL ME."""
70,2.65541029535556e+17,positive,[someone] if you love pinups and Burlesque check out The Burlesque Assassins film premiere in Baltimore on Nov 9 at Creative Alliance.
71,2.43987923517731e+17,positive,Had my 1st Beef Bibimbap today at Westfield Parramatta. Never knew it would be so filling. 5 hours on and still not feeling an edge hungry.
72,2.55162226833494e+17,neutral,"""Watching jiujitsu matches all day long, getting ready for Sunday!"""
73,2.74534692462658e+17,positive,Omigod you guys I get to see HOLY MOTORS tomorrow.
74,2.43995106741473e+17,negative,"""Everyday I am like """"""""shit is it the 17th yet!? Did I miss the Kiryu project!?"""""""" &gt;&lt;"""
75,2.47840804301857e+17,neutral,Anyone got peeps at #Harvard? Going to hear Jonathan Kozol speak tomorrow. Hoping they allow motorscooters at the bike racks?
76,2.09360783367344e+17,negative,"""lol, all the people on the facebook live chat on Rock I am Park are real idiot's. i explain them that Evanscence have performed on friday..."""
77,2.74579923480478e+17,positive,"""enjoying some [someone] for lunch today because it is Friday, and I am finally finished with Thanksgiving leftovers :)"""
78,2.43775118323634e+17,positive,[someone] painting the Liverpudlian town red on Saturday night anyone? I know I am!!!
79,2.5726150020762e+17,negative,"""OMIGOD worst moment when you realise that its the last day of the holidays, school starts tomorrow and you STILL have not done your homework!"""
80,2.434526258514e+17,positive,"""Funky mojos Saturday with the girls, Sunday my birthday, next sat Circoloco then Ibiza!!! Loving life #happydays"""
81,2.22845478709113e+17,positive,"""MDSL Finals this Sunday, July 15 at 6pm. Come watch MYSA take on the Detroit Hustlers at Ultimate Soccer Arena!!("
82,2.22537928860107e+17,positive,"""Gotta love it, and Snoop is playing tomorrow night at Bluesfest!"
83,2.60079824742253e+17,positive,[someone] we are at the Beverly Gardens Park for the art show. we are here til 5pm!! Art Museum to the Art Park - perfect Sunday!!
84,2.36434275162014e+17,positive,[someone] [someone] ... see you on FHV at 6pm ..... And hope to see you at Westfield Parramatta on Sunday at 1pm :-)
85,2.55666719681552e+17,neutral,Youth Soccer pictures are this Saturday (10/13)! Check out the youth soccer schedules on our website!
86,2.22169893167047e+17,positive,[someone] I made a time-lapse video of the San Diego County Fair you may enjoy!
87,2.29295427822969e+17,neutral,we are in hostile territory with these WNY Flash fans. 2nd half of overtime about to begin...Red Stars kicking off.
88,2.67902739818897e+17,positive,Veteran day ballin. ... Glad I dnt got no class tomorrow so I am vibin
89,2.59178289065763e+17,positive,[someone]: Leaving for Bacolod on the 20th! Having a Sun Cellular Event in BCD. See you guys there!!! - OMIGOD! SEE YOU TOM KIEF.
90,2.35861426961515e+17,neutral,On 2nd thoughts let me watch the repeat show of Styled To Rock ! Why am I not in this episode you get to design for Kanye West cha :x
91,2.56212349873177e+17,positive,"""[someone] Big fan of your work! Star Trek, Threshold, Fresh Hell, Alphas, etc and may meet you in person at DSTL! Yay! You Rock!"""
92,2.08664069979386e+17,positive,Happy Bacon Fat Friday Ya'll. Copper river salmon rillettes tonight &amp; the Selena Gomez Dog. going to be a good Friday!
93,2.54722428939403e+17,positive,[someone] Yeah so much has changed for the 6th. Lots of combat fighting. And inventory is different. Did you do Raccoon City?
94,2.18889153834791e+17,positive,[someone] You and all of the dancers at Ballet West are amazing. I absolutely love to watch you all every Thursday. SO TALENTED!
95,2.618458662294e+17,negative,"""RNDM has a beef with music videos Debut album """"""""Acts"""""""" out on Oct 30, 2012"
96,2.71106510669615e+17,positive,"""[someone] Watching on livestream tonight you guys put on a hell of a show as always, see you in Binghamton NY next Saturday Love you guys"""
97,2.2679811459661e+17,negative,"""[someone] Haha. I have got to cut down mate, not looking forward to going through the WARNERS. Might try and sort small set tomorrow VESTRON."""
98,2.44419049344348e+17,positive,"""Excited for all of the Youth Soccer Teams today!!!! Go get a """"""""kick"""""""" out of this Saturday! #MYSL"""
99,2.44087933349536e+17,neutral,"""Mitch Steele from Stone Brewing, our guest on today's WILK Friday Beer Buzz! Click for the video!"
100,2.35407422200631e+17,positive,"""If you participated in our Adult Summer Reading Club, we have got a great program on Saturday! Laughter Workshop:"
101,2.36806293204115e+17,positive,[someone] Love those Sun Mountain bags.Had fun at Lough Erne - roll on the Grove.
102,2.38835939231805e+17,neutral,"""In a year focused on the Summer Olympics, Winter Olympian [someone] received a win of another kind on August 23 Read:"
103,2.2334519674472e+17,neutral,BLUE News: Today I am going to dry out the show gear whilst the sun is out. It got very wet at the Great Yorkshire Show
104,2.15078394520535e+17,positive,Barbarians tonight for the mighty men of #freedomchurch in Makerere University. And what a powerful message from Sunday to get stuck into!
105,2.79763785038823e+17,positive,we are stoked to announce that our brothers in [someone] have been added to the show on January 4th at Rum Runners....
106,2.72485197168116e+17,positive,Amazing football with tons of thanksgiving leftovers is making for the laziest Saturday of all time
107,2.23917864409768e+17,neutral,Another event coming up soon for POE August 4th &amp; 5th at Pomona Fairplex. will fill you in soon!
108,2.12006139779486e+17,neutral,COOL OUT MONDAYS goes down tomorrow night at the Gin Mill... 10-2 grown folks only!!
109,2.34388370468524e+17,neutral,[someone] 2nd dyz - Acid Black Cherry - DIR EN GREY - DOG in the PWO - Kiryu - MAXIMUM THE HORMONE - Nightmare - Plastic Tree - SaTaN -
110,2.29505133518668e+17,neutral,"""The curse that is Sunday mornings at the Nationals strikes again, drew 1 - 1 with Barbarians but finish top of their league."""
111,2.68125444455399e+17,positive,Happy Veteran Day..to the wonderful men and women who served our country..it may be a tough job..buts it for the love if America..God Bless
112,2.493923620596e+17,positive,[someone] Perfect for the week that contained International Talk Like A Pirate Day (19th)... Arrrghhhhhh!!!! :-) x
113,2.23853872802836e+17,neutral,so I have been sat watching the junior champs not realizing the london grand prix was on -.-
114,2.41111184592486e+17,positive,[someone] I am coming to see you you at Westfield Parramatta on Saturday!! SOOOO EXCITED!!! xxx
115,2.30461213316878e+17,positive,"""Seeing the Nekromantix on Thursday.. I shall wear MUFE Moulin Rouge lipstick &amp; my PUG Jack-O-Lantern necklace, all thanks to [someone]!"""
116,2.4778121472181e+17,neutral,MT [someone]: Sculptors! Have you submitted for new Art Park on Telegraph &amp; 19th in #Oakland? 36 hours left!
117,2.42594420736807e+17,positive,De La Soul's Eye Know playing in Pret - the perfect Monday tonic!
118,2.38888228797678e+17,positive,My cousins are coming up later for the Runrig concert tomorrow nights. have not seen them in months
119,2.56151834199212e+17,neutral,"""Nearly mid-October...Best dust off the old Misfits, Nekromantix and Nerve Agents MP3's ready for their token halloween week listening #ghoul"""
120,2.66255026350088e+17,negative,"""GC Event Update: Friday's event Fire in the Ashes, with Jonathan Kozol &amp; Brian Jones, has been cancelled."""
121,2.58884230308839e+17,neutral,"""Today's thermomix creations, vanilla fudge for the scout fundraiser, Moggill Markets this Saturday, bread rolls for lunches tomorrow!"""
122,2.76791630412018e+17,positive,"""Nekromantix, The Black Rose Phantoms, The Spoofs and Clownvis will be performing at the House of Blues on Dec 21! I got 4 free tix! let us go!"""
123,2.26619018763698e+17,neutral,[someone] Sunday's stage is one for sprinters - who will be way down the classification so no threat to Maillot Jaune.
124,2.70680248692126e+17,positive,"""[someone] Yep, it should be pretty good. Did you see our interview with Morgen about Crossfire Hurricane?"
125,2.6740554297104e+17,neutral,"""Bizarre fact: Remembrance Sunday (tomorrow, peeps!) shares the record for joint longest televised annual event with the Chelsea Flower Show"""
126,2.49037615825814e+17,positive,I hope my better half is feeling better today! I will be so sad if we cannot climb Mount Snowdon tomorrow! Was so looking forward to it!
127,2.0897345288183e+17,negative,Vermalen and [someone] in defence! Belgium are going to be difficult to score against when playing their 1st back 4 #England
128,2.81269284217422e+17,positive,Watching Nightmare Before Christmas for the first time in a long time. It holds up but I may be biased because Danny Elfman sings the songs.
129,2.40925046347035e+17,positive,[someone] i believe i just got ur msg. so chill out.... Splash Dance happens every thurs night at surrender. its a pretty good party
130,2.67978730964677e+17,neutral,Veteran day video makes me think of 5th grade #mylife
131,2.73932032986456e+17,neutral,"""I will be tapping Stone Brewing """"""""Enjoy By IPA"""""""" tomorrow at [someone]. we have got till 12/21/12 to drink it."""
132,2.53652249962754e+17,negative,Catelynn looked like a straight up street walker the 1st season of teen mom.
133,2.42981812022964e+17,positive,"""[someone] today is 1st day in school.. wish me luck, Maite!!! #TQM"""
134,2.51380740133114e+17,negative,"""Arr! Last Wednesday, on International Talk Like a Pirate Day, some pirates invaded Mobius for a day of Pirate Science!"
135,2.6934042529749e+17,positive,Mr Blue Sky to make this Friday even more awesome. Quickly followed by Eagles of Death Metal.
136,2.57889614356951e+17,neutral,"""My piece on Mehdi Hasan &amp; abortion on [someone]: """"""""Yes, being pro-life does make you less of a lefty"""""""""
137,2.45210641877578e+17,neutral,"""Well, I guess this is the last Monday I can blame Gin Mill for my hangover."""
138,2.60036543383761e+17,neutral,"""[someone] Check us out"
139,2.2601785689729e+17,positive,If anybody's in the Lechlade area on Sunday Lunch time come and watch my band et al play at the Riverfolk Festival.
140,2.42855843341681e+17,positive,Just finished watching the 1st season of Breaking Pointe (new tv doc about Ballet West) and was pleasantly surprised. What did you think?
141,2.25588752096051e+17,negative,I want to go for Dance on Friday but it seems like I cannot because it is Nurses Day on that and we cannot skip it! NUUU. HAIS.
142,2.59921890364248e+17,positive,[someone] i like that idea hehehe. Interlaken is fun but we may see the tweaker again....we will bring protection.
143,2.44472789195711e+17,neutral,"""Wetherby Reading Club. 11 Sept, 2.00 - 3.30pm, Wetherby Library. Places are limited. Please contact the library for details: 01937 583 144"""
144,2.6364998670368e+17,positive,"""Tomorrow is International Talk Like a Pirate Day. Drink some of this, and the heart of the fair maiden will be yours!"
145,2.10965690834883e+17,neutral,#bluemoon on deck! Friday morning with da bro and best friend @ The Gin Mill
146,2.35048139713827e+17,negative,"""Lol RT[someone]:The fact that almost all the""""""""Styled To Rock"""""""" candidates are on Twitter who is ready for stalking?They may spoiled a lot?"""
147,2.85844246446092e+17,positive,I think I may have a slight (um maybe a severe) addiction to the vanilla fudge quality streets. they are IRRESISTABLE
148,2.27883811092972e+17,positive,[someone] JUST found out about Binghamton NY next Saturday - cannot wait! :) #Spiediefest #RoadTrip
149,2.17802879715648e+17,positive,June 15th is now and forever going to be Matt Cain Day in San Francisco. And they gave him a key to the city. Wow. #SFGiants
150,2.27511394092868e+17,neutral,"""[someone] finally replying! In Brac at the moment, moving onto Hvar wed , den Dubrovnik Fri, and fly home monday!"""
151,2.46826095721198e+17,neutral,Youth Soccer continues this Saturday. Check with Chandra Farnsworth if you need schedules and times.
152,2.48550399991231e+17,positive,Did you know September 19 is International Talk Like a Pirate Day? And a mighty fine day it is mateys! ARrrrrrrrr!
153,2.71021749511016e+17,positive,"""Next meeting - Tuesday, Nov 27th at 7pm at the Creative Alliance. See you all there!!"""
154,2.12318307125178e+17,neutral,Rival Schools has just announced their Australian Tour dates this September. Tickets on sale June 15.
155,2.16087284188062e+17,neutral,[someone] Model Search tomorrow between 9am-12.30pm at Westfield Parramatta. Applications available on the day.
156,2.22927006919164e+17,negative,Very disappointed to learn that the Great Yorkshire Show has been cancelled [someone] . Had planned to go tomorrow.
157,2.62549341976273e+17,neutral,Fact: Trying to escape the bed in the morning may require some expertise in Jiujitsu.
158,2.48860530272502e+17,positive,I am finally going to get to see Rise Against! Who else is going to Riot Fest on Saturday?!
159,2.38202047680352e+17,positive,cannot wait for tomorrow when some of my Liverpudlian family arrive for the bank holiday weekend! :D
160,2.56216762150973e+17,positive,Everyone in the Summersville area come watch our game tomorrow at Nicholas County!!
161,2.77281587186524e+17,positive,So excited you are coming home tomorrow! Love you MITCHIE. #onlychildprobs #imbored [someone]
162,2.75083973842068e+17,positive,Thank you Baltimore for a GREAT Holiday Heap! My best ever today! Join us tomorrow at the Creative Alliance 3134...
163,2.79838164808503e+17,neutral,"""I am going to sing Different Summers on Monday, by Mitchie Torres/Demi [someone] .."""
164,2.39702462540427e+17,neutral,"""Just watched Pulled Apart by Horses &amp; Band of Skulls, &amp; am about to see Eagles of Death Metal! 19th birthday shenanigans [someone]"""
165,2.67885184039408e+17,positive,The best thing about Veteran Day tomorrow: the kids are off from school so I can sleep until 7:45 :)
166,2.69195209592685e+17,neutral,"""Getting ready for Knollwood P.S. bazaar, tonight and tomorrow! Details, see here:"
167,2.67946358261039e+17,positive,Antonio Carluccio may tweet about going to the dentist and napping but I still love him.
168,2.66190740609176e+17,positive,"""Veteran day is on the 11th, remember to thank a vet or soldier for the fact that you had the right to vote on Tuesday."""
169,2.16330534517875e+17,neutral,"""In related news, there were no subs for the Red Stars to start the 2nd half. No lightning updates yet..."""
170,2.45107351370207e+17,positive,okay?! omg! ill do it tomorrow! and BABY BOOM! hahah XD i promise! :)
171,2.37677809156362e+17,positive,$1 daiquiris at Rum Runners tonight and I do not have class til 2 tomorrow..... Yesssss!
172,2.42593103356236e+17,neutral,"""Found Footage Festival: Hey, whatever happened to that VHS tape?... Sunday, September 9th, the Creative Alliance..."
173,2.60145473703248e+17,neutral,I just noticed MySa squared us in our friday game (-__-)
174,2.60636221905195e+17,positive,Climbing Mount Snowdon on Sunday for #childreninneed with 6 young people from a home....anyone want to sponsor me [someone] [someone]
175,2.67610285525836e+17,positive,Been to the #Woking Remembrance Service - now out delivering in support of [someone] for Thursday's Police and Crime Commissioner election
176,2.36604641184461e+17,positive,[someone] that is the 2nd best programme I have watched all week. Jimmy McGovern knows how to make drama
177,2.72276726510391e+17,positive,"""New at forum: Ferry from Dubrovnik to Hvar: Hallo, we want to travel from Dubrovnik to Hvar on Sunday 1..."
178,2.48444829497963e+17,positive,This just in!!! I will be performing in the Nina tribute show this Friday at the Creative Alliance!! As a special guest of Jonathan Gilmore
179,2.61077453592732e+17,positive,Brilliant that the Edinburgh Derby is at night on the 3rd! cannot beat the atmosphere of these games under the floodlights #Hibs
180,2.59240778222666e+17,positive,The view of the clubhouse from the 1st tee at Lough Erne yesterday! Best parkland golf course in Ireland.
181,2.61941613322965e+17,neutral,[someone] Gators soccer wins 12th SEC title: The three points earned put Florida on top with 33 ...
182,2.38860186884928e+17,positive,"""[someone] tonight, light up the night at our 2nd edition of Neon Night Light. Bring out those bikinis and Splash Dance! &lt;3"""
183,2.46331370849329e+17,positive,[someone] what is going on young man! TEAMLTD misses seeing you on Monday's at The KEE for our 'casual' drinks. Catchup in Toronto soon
184,2.0827325436697e+17,positive,"""PSYCHED that Jeff Shaara just released the 1st of 3 new books! """"""""Blaze of Glory"""""""" about the Shiloh &amp; the Western theatre of the Civil War!"""
185,2.82628582294057e+17,positive,I want to go to grand bend for may 24
186,2.7495634256803e+17,positive,"""Got my Sunday sussed out start with Russian game,MK Dons,Edinburgh Derby for starters.!"""
187,2.75253093212492e+17,positive,On Wednesday we welcome chef and restaurateur Antonio Carluccio to the store to sign copies of his new book.
188,2.5921139866248e+17,positive,"""Locked and loaded for IGTOA this weekend at Lough Erne, home to LK tonight playing [someone] tomorrow forecast looking good! #linksgolf"""
189,2.56347985028469e+17,positive,I love the new Antonio Carluccio show on SBS. Beautiful food in gorgeous Liguria Italy. Watch it every Thurs 8.30pm. #bellissimo
190,2.35890176247882e+17,neutral,[someone] Pussy Riot: are you sure? Barbarians defended | Herald Sun Andrew Bolt Blog
191,2.49603054050083e+17,positive,Going to Warhorse at the Winspear Opera House tomorrow. Really really excited! Anyone else seen this?
192,2.40427760684786e+17,positive,Finally made it back from French storms to Luton sun. And in time not just for acting debut 9pm but Jimmy McGovern on [someone] 215pm
193,2.25737278453076e+17,positive,"""Made vanilla fudge, tastes incredible, making chocolate but stopped cus it got late, finishing it tomorrow :D all for [someone]"""
194,2.24258749785842e+17,positive,"""Tomorrow Bradley Wiggins will break the record for number days in the Maillot Jaune for a British rider, beating Chris Boardman. #TdF"""
195,2.5036867023104e+17,neutral,"""2016 Summer Olympics will be in Brazil, the 6th largest economy in the world. Crazy fact: fewer than 15% of roads in Brazil are paved."""
196,2.55406391743881e+17,positive,Catelynn and Tyler from Teen Mom are apparently going to be at Bethany tomorrow! Looks like I am going snooping...#dreamcometrue #highhopes
197,2.00769052329783e+17,neutral,"""This Sat., I will be at the Whole Earth Festival in Davis, CA. Chatting with Kim Stanley Robinson about SF and the environment, from 1-3pm."""
198,2.72059264271528e+17,neutral,Highest accumulations from Snowsqualls tonight to tomorrow would be between Bayfield and Grand Bend along hwy 21 &amp; SE to Stratford #onstorm
199,2.82112185629561e+17,positive,[someone] same here in Detroit. Come out to Gin Mill on Saturday if you are bored. Mark's in town too. we are going to partay...
200,2.79576572695032e+17,negative,[someone] i think i go tomorrow. Cuz I am on my way to my dad first cuz i have no money to go to interlaken T.T i just hope he is there tomorow
201,2.72804540762436e+17,positive,"""[someone] [someone] have you been watching Crossfire Hurricane, the documentary, last 2 saturday nights? Superb."""
202,2.7860730667613e+17,positive,"""[someone] relax, you can now concentrate on finishing 4th and which one of Wilshere, Carzorla or Vermalen you want to sell to City."""
203,2.69180365216834e+17,neutral,"""You want to see wrestling in Binghamton NY, then get your tickets for this Saturday as 2CW returns to the American Legion Post 80. #Iam2CW"""
204,2.54995624213221e+17,negative,"""Every time I see a runner slide into 1st, I see Kenny Lofton laying on the ground, arm limp like a dead fish."""
205,2.7977307106852e+17,positive,Still Got Halloween Candy?: You may be priding yourself on the fact that there is still Halloween candy h...
206,2.53587487245599e+17,neutral,[someone] one for 3rd eye arsenal v olympiakos vermalen falls off the crossbar into the olympiakos goal around 60th minute
207,2.40830544240312e+17,positive,Lots of appointments booked in for Shaun's trip to the satellite office in Haltwhistle tomorrow. Its good to keep him busy!
208,2.79733791113749e+17,positive,2 hours and 15 minutes away from Utah and Alaska. Come on over to the Maverik Center for Friday night hockey. it is Always A Good Time!
209,2.36213113551217e+17,positive,Super pumped to celebrate with my K/1st graders who made it through Summer Olympics: Training in Truth [someone] #lovekids #loveJesus
210,2.72392284056715e+17,negative,Thanksgiving leftovers loses its appear after the 2nd day... Gotta find some Otha shit to eat today.
211,2.78173666188079e+17,positive,[someone] Hi Jessica--looking forward to having you do your IJNet chat on Tuesday. Hope you saw Maite's email.
212,2.49074748422775e+17,neutral,"""A love affair with alliums - Vancouver Sun: A love affair with alliumsVancouver SunAt the Chelsea Flower Show, w..."
213,2.58131418650137e+17,neutral,"""I have not read Mehdi Hasan's article yet. When I do I may owe some people an apology. However, we need to keep in mind the role of religion."""
214,2.64370006547128e+17,neutral,"""Climbing Mount Snowdon tonight, have a feeling a may need crampons, can someone ask [someone] if he has any spare I could borrow?"""
215,2.56082045883806e+17,positive,"""clear the day this saturday Pepper, I am going to Kiryu."""
216,2.4359575779659e+17,positive,"""[someone] Flying out on the 24th arrive at 4pm, straight to Circoloco then Cocoon heroes! #nomessing"""
217,2.79037052304114e+17,positive,May be leaving in May to tour Canada with Of Temples ;). Beckley / Summersville shows the first of the year aswell. See you guys soon!
218,2.67552869807448e+17,positive,Happy Veteran Day! Back in the day! 2nd 75th Ranger
219,2.07524389300863e+17,positive,hope you all tuned into the Chelsea Flower Show - some of the exhibitors will be at the Kent Garden Show beginning on the 2nd of June!
220,2.380080412184e+17,positive,We are blessed with the writing of Jimmy McGovern in this country. Long may that continue #theaccused
221,2.54986265563378e+17,positive,Watching this U10 tournament on the #turf at MYSA really shows how much 1st touch and possession go hand in hand - for my HS team too! :)
222,2.68071063638909e+17,positive,Sucks that I left Warners after they sign one of the hottest UK artists [someone] cannot wait to see her live in March! #lianneRocks
